label,timestamp,duration,pkg,dram,socket
wait,1655113956.4304292,1001080.0937999999,6285158.4,1265158.5,0
wait,1655220794.789225,1001075.8768,6219527.6,1264407.3,0
wait,1655230634.9617417,1001080.8343,6230300.2,1262909.4,0
wait,1655230711.4142785,1001081.7856000001,6245546.8,1279635.4,0
wait,1655230969.2446375,1001086.4134,6212838.1,1271111.8,0
wait,1655231707.190492,1001086.2893,6215786.1,1269779.1,0
wait,1655231737.6494074,1001080.7469,6235823.9,1274900.0,0
wait,1655231948.72211,1001081.1273,6229891.2,1274138.1,0
wait,1655232530.6061118,1001080.4273,6236208.4,1269109.0,0
wait,1655233635.3543563,1001003.5758999999,6274153.9,1273221.6,0
wait,1655233873.585223,1001081.8176999999,6275984.9,1270894.5,0
wait,1655234116.7335007,1001088.2101,6247377.8,1281997.7,0
wait,1655234281.9462826,1001077.7535,6284438.2,1274018.7,0
wait,1655234322.3134766,1000987.8532,6291323.0,1274439.6,0
wait,1655234451.8408873,1001086.1338,6204958.5,1279805.2,0
wait,1655365371.9090345,1001093.2294,6200399.2,1268584.2,0
wait,1655365551.918599,1001087.4113,6132009.4,1269078.4,0
wait,1655367313.5528264,1001076.6613,6245455.2,1269743.9,0
wait,1655367765.4894168,1001089.0786,6319808.0,1314303.7,0
wait,1655367972.132638,1001087.2126,6262233.8,1276427.0,0
wait,1655374003.6364813,1001083.6442,6240761.6,1315998.9,0
wait,1655374491.9907548,1001080.4363,6227114.2,1268544.4,0
wait,1655374848.1281831,1001080.5552999999,6226168.1,1274040.2,0
wait,1655375002.0857508,1001080.0471000001,6241835.9,1330211.1,0
wait,1655375305.0042558,1001081.4848,6222792.9,1267459.7,0
wait,1655375414.7293227,1001079.2660000001,6203048.1,1274162.5,0
wait,1655377087.5797846,1001077.5869000001,6267635.3,1281173.0,0
wait,1655377379.7017858,1001100.108,6337526.5,1302311.5,0
wait,1655377623.3574755,1001087.6558000001,6328102.7,1278018.2,0
wait,1655377916.4772298,1001078.1676,6266506.2,1268296.6,0
wait,1655378238.252111,1001075.4817,6218544.9,1267992.1,0
wait,1655378519.2892032,1001091.7102,6197774.6,1275496.7,0
wait,1655379079.1672041,1001094.9563999999,6234066.1,1273079.3,0
wait,1655379138.260902,1001039.1039999999,6243740.1,1272787.1,0
wait,1655380764.6267955,1001032.5932,6178609.7,1270694.0,0
wait,1655380844.4986532,1001080.1877,6250405.1,1286815.7,0
wait,1655381018.7892313,1001005.5162000001,6195827.6,1261074.9,0
wait,1655381122.0764503,1001084.6091,6167080.1,1273513.9,0
wait,1655381200.057376,1001082.6446,6203237.3,1297429.3,0
wait,1655381238.9010267,1001075.9387,6193612.1,1251573.7,0
wait,1655381433.5921986,1001084.7536,6279164.8,1313915.0,0
wait,1655382210.324077,1001086.8469,6258577.7,1314640.3,0
wait,1655382503.1914294,1001077.485,6223592.5,1269340.0,0
wait,1655382835.6444714,1001077.4658,6214296.8,1269315.5,0
wait,1655396603.2732341,1001070.8676000001,6183919.7,1269744.0,0
wait,1655463277.3733904,1001081.6098999999,6219881.5,1265316.2,0
wait,1655465877.0152776,1001081.4989,6214925.5,1272699.9,0
wait,1655466970.948802,1001087.8444000001,6231954.3,1266252.5,0
wait,1655478737.7580097,1001077.116,6201772.5,1279434.9,0
