label,timestamp,duration,pkg,dram,socket
Adult_3,1655920702.3724985,5583668.486,83340729.0,14718049.0,0
Adult_3,1655920707.957778,5540176.634,78417280.0,13298607.0,0
Adult_3,1655920713.4997947,5515820.381,78227522.0,13204175.0,0
Adult_3,1655920719.0172246,5479018.425,78106611.0,13129435.0,0
Adult_3,1655920724.4981892,5520596.578,81302526.0,14182136.0,0
Adult_3,1655920730.0204196,5445338.394,77740402.0,13040419.0,0
Adult_3,1655920735.4675455,5360152.939,76882005.0,12927950.0,0
Adult_3,1655920740.8291817,5464913.068,76701037.0,13008350.0,0
Adult_3,1655920746.2956512,5511343.479,77622543.0,13186673.0,0
Adult_3,1655920751.8089213,5439046.508,77558396.0,13056943.0,0
Adult_3,1655920900.5618765,5626618.773,84306852.0,14972442.0,0
Adult_3,1655920906.1900713,5489236.867,77975691.0,13242211.0,0
Adult_3,1655920911.6809185,5503381.288,77656906.0,13286046.0,0
Adult_3,1655920917.186044,5583665.836,78581891.0,13392442.0,0
Adult_3,1655920922.7714024,5572998.99,81674413.0,14372927.0,0
Adult_3,1655920928.346359,5398314.082,76710070.0,13064655.0,0
Adult_3,1655920933.7469134,5446654.002,76735216.0,13139564.0,0
Adult_3,1655920939.195182,5405185.658,76826830.0,13138019.0,0
Adult_3,1655920944.6021,5455113.868,77074388.0,13204604.0,0
Adult_3,1655920950.0588546,5312781.262,76910020.0,12864148.0,0
Student_3,1655920955.374952,2405730.018,39880574.0,5584102.0,0
Student_3,1655920957.7818127,2512183.022,40002461.0,5752632.0,0
Student_3,1655920960.2951035,2664022.281,45552557.0,7283122.0,0
Student_3,1655920962.9602551,2543953.467,40548724.0,5878842.0,0
Student_3,1655920965.505309,2444751.833,39780782.0,5605170.0,0
Student_3,1655920967.9518342,2534144.233,40173664.0,5775796.0,0
Student_3,1655920970.4870777,2496450.72,39933309.0,5711964.0,0
Student_3,1655920972.9846683,2554932.4,40198994.0,5801883.0,0
Student_3,1655920975.5407267,2482723.31,40155537.0,5778810.0,0
Student_3,1655920978.0252378,2546189.2,41505998.0,6360806.0,0
Adult_10,1655920980.5726266,4972871.448,76397083.0,13172061.0,0
Adult_10,1655920985.5471992,5040635.292,71489685.0,12099562.0,0
Adult_10,1655920990.5902503,4917940.994,70828676.0,11712349.0,0
Adult_10,1655920995.509786,4878363.637,70640994.0,11663450.0,0
Adult_10,1655921000.3897402,4868673.432,70326053.0,11607498.0,0
Adult_10,1655921005.2601407,4832598.785,70428408.0,11505523.0,0
Adult_10,1655921010.09404,4897707.765,70565981.0,11664705.0,0
Adult_10,1655921014.9933305,4815803.073,70309696.0,11483798.0,0
Adult_10,1655921019.8106658,5109959.144,75630543.0,13144995.0,0
Adult_10,1655921024.922142,4844393.453,70262820.0,11557039.0,0
Student_10,1655921029.768456,2490996.35,38912010.0,5720945.0,0
Student_10,1655921032.2605386,2440669.892,38634789.0,5561994.0,0
Student_10,1655921034.702278,2437364.462,38884544.0,5532358.0,0
Student_10,1655921037.1407533,2435474.277,38419946.0,5550075.0,0
Student_10,1655921039.5772974,2420230.912,38639488.0,5508367.0,0
Student_10,1655921041.9985745,2583835.505,42411879.0,6140808.0,0
Student_10,1655921044.5835614,2391739.094,39693929.0,6008601.0,0
Student_10,1655921046.976413,2347467.256,38810447.0,5473468.0,0
Student_10,1655921049.3250463,2386801.772,38568260.0,5530063.0,0
Student_10,1655921051.712986,2441152.757,38829796.0,5626438.0,0
Adult_27,1655921054.1553686,4507185.945,65918960.0,10692528.0,0
Adult_27,1655921058.6639884,4550945.441,66256850.0,10800744.0,0
Adult_27,1655921063.2167509,4494804.561,65640884.0,10671566.0,0
Adult_27,1655921067.7129366,4732878.793,69706303.0,11443711.0,0
Adult_27,1655921072.4476202,4501683.654,66135756.0,10750010.0,0
Adult_27,1655921076.95103,4523344.031,65767044.0,10725774.0,0
Adult_27,1655921081.4761474,4501851.563,65875442.0,10703834.0,0
Adult_27,1655921085.9795573,4500004.321,66036208.0,10700132.0,0
Adult_27,1655921090.4815507,4503790.891,66241041.0,11291814.0,0
Adult_27,1655921094.9870362,4528537.843,65728164.0,10781880.0,0
Student_27,1655921099.516874,2352909.222,37860254.0,5338002.0,0
Student_27,1655921101.8708127,2550988.346,43233715.0,7105259.0,0
Student_27,1655921104.422935,2348337.617,38331139.0,5464931.0,0
Student_27,1655921106.7724128,2338752.477,38935631.0,6280956.0,0
Student_27,1655921109.1123,2402313.839,38106409.0,5524860.0,0
Student_27,1655921111.5157826,2439998.463,38426842.0,5647903.0,0
Student_27,1655921113.9568667,2451489.789,38311486.0,5665468.0,0
Student_27,1655921116.4095058,2393936.87,38046534.0,5560035.0,0
Student_27,1655921118.8045774,2373092.628,38887413.0,6115471.0,0
Student_27,1655921121.1788464,2616483.673,43739634.0,7221860.0,0
