label,timestamp,duration,pkg,dram,socket
adult,1655799669.6266937,223334.602,6372176.0,835977.0,0
adult,1655799670.3309777,223097.437,6388839.0,839251.0,0
adult,1655799671.034249,222529.852,6320419.0,828127.0,0
adult,1655799671.7404416,220907.846,6306380.0,830821.0,0
adult,1655799672.4416826,222018.102,6325973.0,826445.0,0
adult,1655799673.1440518,223469.66,6417464.0,848431.0,0
adult,1655799673.8496137,221083.86,6309493.0,819483.0,0
adult,1655799674.554507,221625.067,6297347.0,834416.0,0
adult,1655799675.2540312,221655.132,6297774.0,832458.0,0
adult,1655799675.9574568,222051.655,6398605.0,818657.0,0
adult,1655911257.2002108,238855.901,5655748.0,681539.0,0
adult,1655911257.9356732,225675.266,6334212.0,855438.0,0
adult,1655911258.6488361,225286.003,6327682.0,844591.0,0
adult,1655911259.361064,224238.064,6300948.0,840199.0,0
adult,1655911260.0703697,222541.024,6279342.0,837766.0,0
adult,1655911260.7794468,224062.664,6327499.0,835962.0,0
adult,1655911261.4921296,224253.791,6336959.0,848553.0,0
adult,1655911262.202541,224681.709,6322188.0,855102.0,0
adult,1655911262.912863,224304.13,6333419.0,829458.0,0
adult,1655911263.6241238,224374.928,6364547.0,836680.0,0
adult,1655913403.3156655,227143.446,6479231.0,848493.0,0
adult,1655913479.6575718,225523.719,6414961.0,847972.0,0
adult,1655913480.4180584,223968.669,6353133.0,832182.0,0
adult,1655913481.1751394,225928.303,6436690.0,837629.0,0
adult,1655913481.9352326,224563.492,6429976.0,844270.0,0
adult,1655913482.6922305,223936.578,6358504.0,833880.0,0
adult,1655913483.4522884,226502.721,6434615.0,853970.0,0
adult,1655913484.2123425,225330.319,6444075.0,849027.0,0
adult,1655913484.9752576,224257.673,6420455.0,851231.0,0
adult,1655913485.7347896,223685.301,6390853.0,829658.0,0
adult,1655913486.4890583,224533.262,6400070.0,842372.0,0
