label,timestamp,duration,pkg,dram,socket
student,1655913480.0798218,16236.788,438658.0,61139.0,0
student,1655913480.8370159,16321.246,437744.0,62332.0,0
student,1655913481.5962956,16328.879,438842.0,61705.0,0
student,1655913482.354222,16392.395,438659.0,62057.0,0
student,1655913483.1143472,16225.695,466185.0,64643.0,0
student,1655913483.8735669,16060.078,439391.0,61981.0,0
student,1655913484.6343212,16272.881,436645.0,61047.0,0
student,1655913485.3973708,16194.26,438354.0,62562.0,0
student,1655913486.1511838,16106.732,436278.0,61261.0,0
student,1655913486.9103634,16181.792,438170.0,61368.0,0
