age;type_employer;education;marital;occupation;relationship;race;sex;capital_gain;capital_loss;hr_per_week;country;income
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Self-employed;high;Married-civ-spouse;*;Married;White;Male;-1500;0;*;North-America;<=50K
*;Unknown/without;medium;Divorced;*;Other;White;Male;-1500;0;*;North-America;<=50K
*;Unknown/without;low;Married-civ-spouse;*;Married;Black;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Unknown/without;high;Married-civ-spouse;*;Married;White;Female;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Self-employed;medium;Married-civ-spouse;*;Married;White;Male;-1500;0;*;North-America;>50K
*;Unknown/without;high;Never-married;*;Other;White;Female;12500-25000;0;*;North-America;>50K
*;Unknown/without;high;Married-civ-spouse;*;Married;White;Male;4500-7500;0;*;North-America;>50K
*;Unknown/without;medium;Married-civ-spouse;*;Married;Black;Male;-1500;0;*;North-America;>50K
*;Government;high;Married-civ-spouse;*;Married;Asian-Pac-Islander;Male;-1500;0;*;South-Asia;>50K
*;Unknown/without;high;Never-married;*;Family;White;Female;-1500;0;*;North-America;<=50K
*;Unknown/without;medium;Never-married;*;Other;Black;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Self-employed;medium;Never-married;*;Family;White;Male;-1500;0;*;North-America;<=50K
*;Unknown/without;medium;Never-married;*;Other;White;Male;-1500;0;*;North-America;<=50K
*;Unknown/without;low;Married-civ-spouse;*;Married;White;Male;-1500;0;*;North-America;<=50K
*;Self-employed;high;Divorced;*;Other;White;Female;-1500;0;*;North-America;>50K
*;Unknown/without;high;Married-civ-spouse;*;Married;White;Male;-1500;0;*;North-America;>50K
*;Unknown/without;medium;Separated;*;Other;Black;Female;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Unknown/without;medium;Divorced;*;Other;White;Female;-1500;0;*;North-America;<=50K
*;Government;high;Married-civ-spouse;*;Married;White;Male;-1500;0;*;North-America;>50K
*;Unknown/without;medium;Never-married;*;Family;White;Male;-1500;0;*;North-America;<=50K
*;Unknown/without;medium;Divorced;*;Other;White;Male;-1500;0;*;North-America;<=50K
*;Unknown/without;medium;Married-civ-spouse;*;Married;White;Male;-1500;0;*;North-America;<=50K
*;Government;medium;Never-married;*;Other;White;Male;-1500;0;*;North-America;<=50K
*;Unknown/without;medium;Never-married;*;Family;Black;Male;-1500;0;*;North-America;<=50K
