school,failures,higher,traveltime,famrel,G3
GP,0,yes,2,4,11
GP,0,yes,1,5,11
GP,0,yes,1,4,12
GP,0,yes,1,3,14
GP,0,yes,1,4,13
GP,0,yes,1,5,13
GP,0,yes,1,4,13
GP,0,yes,2,4,13
GP,0,yes,1,4,17
GP,0,yes,1,5,13
GP,0,yes,1,3,14
GP,0,yes,3,5,13
GP,0,yes,1,4,12
GP,0,yes,2,5,13
GP,0,yes,1,4,15
GP,0,yes,1,4,17
GP,0,yes,1,3,14
GP,0,yes,3,5,14
GP,3,yes,1,5,7
GP,0,yes,1,3,12
GP,0,yes,1,4,14
GP,0,yes,1,5,12
GP,0,yes,1,4,14
GP,0,yes,2,5,10
GP,0,yes,1,4,10
GP,0,yes,1,1,12
GP,0,yes,1,4,12
GP,0,yes,1,2,11
GP,0,yes,1,5,13
GP,0,yes,1,4,12
GP,0,yes,1,5,11
GP,0,yes,2,4,15
GP,0,yes,1,4,15
GP,0,yes,1,5,12
GP,0,yes,1,5,12
GP,0,yes,2,3,11
GP,0,yes,1,5,14
GP,0,yes,2,2,13
GP,0,yes,1,4,12
GP,0,yes,1,4,12
GP,0,yes,2,3,10
GP,0,yes,1,5,11
GP,0,yes,1,4,15
GP,0,yes,1,5,10
GP,1,yes,2,4,11
GP,0,yes,1,5,11
GP,0,yes,1,2,13
GP,0,yes,1,4,17
GP,0,yes,1,4,13
GP,0,yes,1,4,12
GP,0,yes,3,4,13
GP,0,yes,1,4,16
GP,0,yes,2,5,9
GP,0,yes,1,3,12
GP,0,yes,1,5,13
GP,0,yes,1,5,12
GP,0,yes,1,4,15
GP,0,yes,1,3,16
GP,0,yes,1,4,14
GP,0,yes,1,4,16
GP,0,yes,1,2,16
GP,0,yes,4,5,16
GP,0,yes,1,4,10
GP,0,yes,1,3,13
GP,0,yes,1,4,12
GP,0,yes,3,5,16
GP,0,yes,1,1,12
GP,0,yes,1,4,10
GP,0,yes,2,4,11
GP,0,yes,2,4,15
GP,0,yes,2,4,11
GP,0,yes,1,3,10
GP,0,yes,1,3,11
GP,0,yes,1,5,14
GP,0,yes,1,4,11
GP,0,yes,1,4,11
GP,0,yes,2,3,11
GP,0,yes,1,5,13
GP,3,no,2,4,10
GP,0,yes,1,2,11
GP,0,yes,1,3,12
GP,0,yes,1,5,9
GP,0,yes,1,4,11
GP,0,yes,2,5,13
GP,0,yes,1,4,12
GP,0,yes,2,4,12
GP,0,yes,1,4,11
GP,0,yes,1,5,15
GP,0,yes,2,4,11
GP,0,yes,1,4,10
GP,0,yes,1,4,11
GP,0,yes,1,4,13
GP,0,yes,1,3,12
GP,0,yes,2,5,14
