label,timestamp,duration,pkg,dram,socket
Adult,1653230995.773407,7744893.512,271864050.0,40933131.0,0
Adult,1653231003.5197937,7732161.47,272484227.0,40639508.0,0
Adult,1653231011.25573,7747104.235,273516146.0,40599284.0,0
Adult,1653231019.0066395,7743539.243,273774934.0,40800204.0,0
Adult,1653231026.7541242,7747310.564,274293731.0,40702957.0,0
Adult,1653231034.5054677,7754474.282,274966765.0,40663284.0,0
Adult,1653231042.2635663,7751382.322,275744167.0,40688560.0,0
Adult,1653231050.0187352,7745576.139,277259727.0,40606445.0,0
Adult,1653231057.768478,7755898.23,277604453.0,40776535.0,0
Adult,1653231065.528741,7761350.525,277984457.0,40930193.0,0
Student,1653231073.294448,32699.844,1295956.0,126179.0,0
Student,1653231073.3288815,44870.614,2117365.0,164077.0,0
Student,1653231073.375466,44460.859,2129511.0,167581.0,0
Student,1653231073.4215834,44505.074,2144892.0,168086.0,0
Student,1653231073.4679215,44411.623,2159723.0,171084.0,0
Student,1653231073.5141292,44660.638,2097467.0,161446.0,0
Student,1653231073.560591,44641.818,2143610.0,167749.0,0
Student,1653231073.60702,44688.071,2151727.0,170580.0,0
Student,1653231073.6535199,44422.48,2105830.0,163235.0,0
Student,1653231073.699774,44603.973,2150141.0,165317.0,0
Adult,1653560194.9700768,7819441.24,274634001.0,41057733.0,0
Adult,1653560202.7910678,7806003.423,275047331.0,40769711.0,0
Adult,1653560210.6006446,7817963.566,276212855.0,40894422.0,0
Adult,1653560218.4225416,7809986.931,276934471.0,40964725.0,0
Adult,1653560226.2365952,7813468.26,277857749.0,40944468.0,0
Adult,1653560234.0529406,7797369.584,277947714.0,40922665.0,0
Adult,1653560241.8534067,7802550.302,278581318.0,40802499.0,0
Adult,1653560249.6590738,7805381.518,278996478.0,41062660.0,0
Adult,1653560257.46767,7805706.743,279292254.0,40903984.0,0
Adult,1653560265.2766423,7803147.442,278757160.0,40914159.0,0
Student,1653560273.082641,30509.445,1209836.0,118881.0,0
Student,1653560273.1148522,43098.567,2030268.0,159641.0,0
Student,1653560273.1596637,43391.398,2030451.0,161262.0,0
Student,1653560273.2047524,43178.507,2037592.0,160757.0,0
Student,1653560273.249613,43116.538,2054438.0,163144.0,0
Student,1653560273.2945583,43366.814,2054194.0,152970.0,0
Student,1653560273.339812,43207.594,2042781.0,162088.0,0
Student,1653560273.3848622,43318.482,2042048.0,157819.0,0
Student,1653560273.4300349,43315.08,2059381.0,161338.0,0
Student,1653560273.4751647,43238.845,2039790.0,160527.0,0
