label,timestamp,duration,pkg,dram,socket
Adult,1653231073.7464087,1316527.158,61217129.0,6258587.0,0
Adult,1653231075.0649264,1279584.631,59908904.0,6165900.0,0
Adult,1653231076.3464873,1289524.436,60360014.0,6278080.0,0
Adult,1653231077.63796,1283268.872,60084380.0,6211387.0,0
Adult,1653231078.923226,1270428.453,59625580.0,6086982.0,0
Adult,1653231080.1956282,1281621.769,60226470.0,6201686.0,0
Adult,1653231081.4792604,1276937.911,59877777.0,6143746.0,0
Adult,1653231082.758162,1267113.548,59394257.0,6120888.0,0
Adult,1653231084.0272348,1281220.45,60123198.0,6190426.0,0
Adult,1653231085.310418,1277844.692,60150481.0,6165717.0,0
Student,1653231086.590244,57706.386,2792596.0,214613.0,0
Student,1653231086.6497757,57192.231,2799858.0,221238.0,0
Student,1653231086.708823,56877.498,2747613.0,213710.0,0
Student,1653231086.767515,57125.884,2743951.0,218010.0,0
Student,1653231086.8264468,56568.401,2741509.0,215806.0,0
Student,1653231086.884768,56499.031,2751519.0,213588.0,0
Student,1653231086.943038,57135.348,2799675.0,219034.0,0
Student,1653231087.0019865,56611.215,2747613.0,217290.0,0
Student,1653231087.0603986,56543.549,2696587.0,213435.0,0
Student,1653231087.1187317,67186.954,3228691.0,253888.0,0
Adult,1653560273.5203602,1513334.224,71286622.0,7281071.0,0
Adult,1653560275.03572,1491714.852,70377872.0,7237435.0,0
Adult,1653560276.5294352,1481163.671,69989628.0,7143096.0,0
Adult,1653560278.0126178,1479697.817,70176212.0,7155947.0,0
Adult,1653560279.4943018,1498280.58,71090455.0,7244351.0,0
Adult,1653560280.994554,1474587.333,69855046.0,7126418.0,0
Adult,1653560282.471132,1475630.284,69971928.0,7105243.0,0
Adult,1653560283.9487648,1477893.312,70217289.0,7149629.0,0
Adult,1653560285.4286375,1481903.616,70394778.0,7150455.0,0
Adult,1653560286.9125228,1480352.971,70232304.0,7180259.0,0
Student,1653560288.3948815,56133.042,2746392.0,207361.0,0
Student,1653560288.452853,55965.482,2698235.0,206917.0,0
Student,1653560288.510664,55764.893,2697014.0,214644.0,0
Student,1653560288.5682855,55644.634,2652154.0,211568.0,0
Student,1653560288.625744,55469.221,2702996.0,214139.0,0
Student,1653560288.6830325,55150.177,2650017.0,207315.0,0
Student,1653560288.7399838,55242.695,2650139.0,208707.0,0
Student,1653560288.7969918,55223.115,2652520.0,208922.0,0
Student,1653560288.853997,55021.118,2649835.0,204867.0,0
Student,1653560288.910792,59861.104,2890251.0,232407.0,0
