label,timestamp,duration,pkg,dram,socket
Adult,1653556782.3332188,66904775.441,3575452700.0,275256792.0,0
Adult,1653557894.9457436,67512214.66,3519466088.0,276343230.0,0
Adult,1653557962.4612882,67395981.927,3566136134.0,276062307.0,0
Adult,1653558029.8605087,67362334.904,3576757140.0,276186803.0,0
Adult,1653558097.226161,67753144.775,3581061206.0,277635055.0,0
Adult,1653558344.1698787,67494337.375,3550420537.0,276715004.0,0
Adult,1653558411.6675289,67514938.313,3598716740.0,276457704.0,0
Adult,1653558479.1858172,67348026.826,3597159615.0,276598020.0,0
Adult,1653558546.5372741,67014171.266,3584011943.0,275452754.0,0
Adult,1653558613.5548372,67982855.474,3607671673.0,278989013.0,0
Adult,1653558681.5411296,67812850.985,3613988246.0,278090367.0,0
Adult,1653558749.357405,67373656.149,3602240413.0,276839042.0,0
Adult,1653558816.7344708,67607343.933,3596512094.0,277426363.0,0
Adult,1653558884.3451366,67337001.234,3602012202.0,276091590.0,0
Adult,1653558951.685569,67759617.811,3602744195.0,278340354.0,0
