school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,5,3,2,1,1,4,3.0,10,11,12
GP,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,3,no,yes,no,no,yes,yes,yes,yes,1,4,5,1,3,2,25.0,9,9,9
GP,F,17,U,GT3,T,3,3,other,other,home,mother,2,1,0,yes,no,no,no,no,no,yes,no,5,3,2,1,1,3,1.0,8,10,10
GP,M,16,U,GT3,T,3,3,services,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,3,5.0,13,12,13
GP,F,17,R,GT3,T,1,1,other,other,course,mother,3,1,0,no,no,yes,yes,no,yes,no,no,4,3,1,2,2,5,1.0,9,8,0
GP,F,18,R,GT3,T,4,4,teacher,services,reputation,father,1,3,0,no,yes,no,no,no,no,yes,no,3,4,3,1,1,5,1.0,11,11,11
MS,M,16,R,GT3,T,1,1,at_home,other,course,mother,3,1,1,no,no,no,no,yes,no,yes,no,5,3,3,1,5,3,3.0,9,8,10
MS,F,16,R,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,no,no,yes,no,yes,no,yes,4,4,3,1,1,3,4.0,12,12,12
GP,M,18,U,LE3,T,4,2,teacher,at_home,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,3,5,2,1,1,3,2.0,16,17,18
MS,F,15,U,GT3,T,3,1,other,services,course,mother,2,2,0,no,yes,no,no,yes,yes,no,no,2,3,3,1,1,3,6.0,10,9,10
MS,M,17,R,GT3,T,4,4,other,services,course,mother,2,1,2,no,no,no,no,yes,yes,yes,yes,4,4,4,1,4,5,1.0,14,15,15
GP,F,16,U,GT3,T,3,3,services,other,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,5,2.0,12,12,12
GP,F,18,U,GT3,A,3,3,other,other,home,father,3,3,0,no,yes,no,no,no,yes,yes,yes,1,3,4,3,3,3,4.0,10,11,11
GP,F,18,R,LE3,T,4,2,other,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,5,2,1,1,3,11.0,16,17,18
GP,F,15,U,LE3,A,3,1,services,at_home,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,5,2,3,1,1,1,4.0,13,13,14
GP,F,16,R,GT3,T,3,1,services,other,course,mother,2,4,0,no,no,no,no,yes,yes,yes,no,4,2,4,3,4,5,0.0,10,11,11
GP,F,16,U,GT3,T,3,3,other,services,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,2,1,1,1,1,2,3.0,13,14,13
GP,M,18,U,GT3,A,3,4,other,services,home,mother,2,2,0,no,yes,no,no,no,no,yes,yes,4,4,4,3,5,1,16.0,12,13,10
GP,F,16,U,GT3,T,3,3,at_home,services,course,mother,3,1,0,yes,yes,no,yes,yes,yes,no,no,5,4,4,1,1,3,6.0,13,12,13
GP,M,18,U,GT3,T,3,1,at_home,teacher,reputation,mother,1,1,0,no,no,no,no,yes,no,yes,no,3,4,4,1,1,5,17.0,9,9,8
GP,M,18,U,GT3,T,2,1,other,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,5,5,5,5,5,3,2.0,8,10,11
GP,F,15,U,LE3,T,2,1,other,services,home,other,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,2,1,1,9.0,10,11,11
MS,F,19,R,LE3,T,2,3,other,other,other,father,4,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,2,4,5,1.0,10,11,11
GP,F,16,R,LE3,T,3,2,services,other,course,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,1,1,1,4,3.0,12,11,12
GP,F,16,U,GT3,A,2,2,at_home,other,reputation,mother,1,2,0,no,no,no,yes,no,no,no,no,3,2,2,1,3,4,10.0,10,9,8
GP,F,15,U,GT3,T,3,4,other,at_home,other,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,4,4,1,1,2,5,0.0,13,14,14
GP,M,17,U,GT3,T,0,2,at_home,other,home,father,1,2,0,no,no,no,no,no,yes,yes,no,2,2,2,1,4,2,2.0,11,11,11
